,temp,dew,humidity,precip,windspeed,winddir,cloudcover,solarradiation
38,20.9,17.4,80.4,6.1,14.0,186.5,88.9,314.0
39,20.7,17.7,82.95,5.7,13.7,192.5,88.7,245.2
40,20.3,17.9,86.1,4.0,13.0,195.4,88.0,180.9
41,19.8,18.0,89.37,2.1,12.2,196.2,87.1,114.3
42,19.4,18.2,92.77,1.2,10.8,194.8,85.2,53.6
43,18.8,18.2,96.31,0.9,7.6,191.8,82.5,7.4
44,18.4,18.1,98.13,1.5,6.5,188.1,79.2,0.0
45,18.2,18.0,98.75,1.5,6.5,185.1,78.2,0.0
46,18.0,17.8,98.75,1.5,6.1,180.1,77.9,0.0
47,17.8,17.6,98.75,1.3,5.8,172.3,80.5,0.0
48,17.5,17.3,98.74,1.3,5.0,156.1,81.5,0.0
49,17.3,16.9,97.5,1.1,4.7,130.3,81.9,0.0
50,16.9,16.5,97.49,0.6,5.0,105.0,83.5,0.0
51,16.6,16.0,96.25,0.4,5.8,90.5,88.6,0.0
52,16.4,15.6,95.02,0.8,6.1,89.8,88.0,0.0
53,16.0,15.2,95.0,1.7,6.5,90.4,85.9,1.0
54,16.4,15.0,91.43,3.9,9.4,94.8,83.6,49.2
55,16.9,15.1,89.14,8.2,12.6,96.6,84.6,158.0
56,17.7,15.8,88.64,13.1,13.7,103.0,85.6,285.0
57,18.6,16.3,86.48,5.1,15.8,120.0,86.7,338.4
58,19.2,16.6,84.91,5.6,18.4,130.0,89.4,389.5
59,19.5,16.8,84.4,6.0,20.5,137.7,89.9,381.1
60,19.6,17.1,85.49,6.1,21.6,142.9,88.5,377.4
61,19.6,17.2,86.03,6.1,22.0,145.9,85.7,350.3
62,19.7,17.4,86.59,6.2,21.2,148.5,78.0,335.0
63,19.8,17.7,87.69,7.1,19.4,150.3,72.7,311.0
64,19.8,17.8,88.25,7.3,16.9,153.4,69.9,242.0
65,19.6,17.9,89.92,7.0,14.8,156.5,70.1,166.8
66,19.1,18.0,93.34,5.8,11.2,158.2,67.0,79.1
67,18.4,17.9,96.91,5.3,6.8,155.1,65.6,10.7
68,17.8,17.5,98.13,5.5,6.5,148.4,68.3,0.0
69,17.6,17.3,98.12,5.4,6.1,135.2,77.8,0.0
70,17.3,16.9,97.5,5.2,7.2,113.1,77.5,0.0
71,17.0,16.2,95.04,5.3,9.4,94.5,75.0,0.0
72,16.5,15.5,93.81,5.6,10.8,84.9,77.6,0.0
73,15.8,14.7,93.18,5.6,10.8,81.7,85.3,0.0
74,15.4,14.2,92.56,5.6,11.5,86.5,88.8,0.0
75,15.0,13.7,91.93,5.9,14.8,95.6,91.0,0.0
76,14.9,13.5,91.33,6.2,19.4,103.7,90.1,0.0
77,15.0,13.5,90.75,6.4,24.1,109.4,91.3,1.0
78,15.1,13.7,91.35,6.5,24.8,109.2,89.0,39.9
79,15.5,13.9,90.19,7.0,25.2,104.7,88.9,134.5
80,16.1,14.2,88.5,7.2,27.4,102.4,84.9,234.3
